"id";"crop_name";"idealkmax";"idealkmin";"idealnmax";"idealnmin";"idealpmax";"idealpmin";"ideal_ph_max";"ideal_ph_min";"ideal_rainfall_max";"ideal_rainfall_min"
1;"Rice";50.0;30.0;120.0;80.0;50.0;30.0;7.0;5.0;300.0;150.0
2;"Wheat";45.0;25.0;100.0;60.0;45.0;25.0;7.5;6.0;100.0;50.0
3;"Maize";80.0;40.0;150.0;90.0;80.0;40.0;7.5;5.5;120.0;60.0
4;"Cotton";60.0;35.0;120.0;70.0;60.0;35.0;8.0;5.5;100.0;50.0
5;"Sugarcane";90.0;45.0;180.0;100.0;90.0;45.0;8.5;5.0;250.0;120.0
6;"Jute";40.0;20.0;90.0;50.0;40.0;20.0;7.5;6.0;300.0;150.0
7;"Coconut";80.0;40.0;80.0;40.0;35.0;20.0;8.0;5.0;250.0;100.0
8;"Papaya";70.0;40.0;100.0;60.0;50.0;30.0;7.0;5.5;200.0;100.0
9;"Orange";75.0;40.0;110.0;70.0;55.0;35.0;7.5;5.5;150.0;60.0
10;"Apple";90.0;50.0;90.0;50.0;45.0;25.0;7.0;5.5;120.0;50.0
11;"Grapes";90.0;50.0;100.0;60.0;50.0;30.0;7.5;5.5;100.0;40.0
12;"Mango";75.0;40.0;95.0;55.0;45.0;25.0;7.5;5.5;200.0;80.0
13;"Bean";65.0;35.0;80.0;40.0;45.0;25.0;7.5;6.0;150.0;50.0
14;"Lentil";55.0;25.0;70.0;30.0;40.0;20.0;7.5;5.5;100.0;40.0
15;"Chickpea";60.0;30.0;75.0;35.0;45.0;25.0;7.5;5.5;100.0;40.0
